id,time,x,y,z,pulse
522,16777.0,-0.35,-0.37,0.44,353.0
523,16809.0,-0.35,-0.37,0.44,347.0
524,16841.0,-0.34,-0.36,0.45,339.0
525,16874.0,-0.36,-0.37,0.45,339.0
526,16906.0,-0.35,-0.36,0.44,334.0
527,16939.0,-0.35,-0.36,0.44,331.0
528,16971.0,-0.34,-0.36,0.46,328.0
529,17003.0,-0.35,-0.37,0.45,326.0
530,17036.0,-0.35,-0.37,0.44,326.0
531,17068.0,-0.35,-0.37,0.44,322.0
532,17100.0,-0.34,-0.37,0.44,320.0
533,17132.0,-0.36,-0.37,0.44,320.0
534,17165.0,-0.36,-0.38,0.42,324.0
535,17197.0,-0.35,-0.37,0.43,322.0
536,17229.0,-0.36,-0.38,0.46,321.0
537,17261.0,-0.36,-0.37,0.44,321.0
538,17294.0,-0.34,-0.36,0.44,319.0
539,17326.0,-0.35,-0.36,0.45,318.0
540,17358.0,-0.33,-0.36,0.45,323.0
541,17391.0,-0.36,-0.36,0.45,334.0
542,17423.0,-0.35,-0.37,0.44,351.0
543,17456.0,-0.35,-0.37,0.44,356.0
544,17487.0,-0.35,-0.36,0.44,356.0
545,17520.0,-0.35,-0.37,0.44,350.0
546,17552.0,-0.34,-0.37,0.45,344.0
547,17585.0,-0.35,-0.36,0.44,341.0
548,17616.0,-0.35,-0.37,0.44,333.0
549,17649.0,-0.36,-0.37,0.44,330.0
550,17681.0,-0.36,-0.38,0.44,329.0
551,17714.0,-0.35,-0.39,0.44,332.0
552,17745.0,-0.34,-0.38,0.44,331.0
553,17778.0,-0.35,-0.37,0.44,328.0
554,17811.0,-0.35,-0.37,0.44,325.0
555,17843.0,-0.34,-0.37,0.44,324.0
556,17875.0,-0.33,-0.37,0.46,322.0
557,17907.0,-0.34,-0.37,0.45,320.0
